gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,conm,curcdq,datacqtr,datafqtr,cshoq,xrdq,costat,prccq,gsubind
001562,2019/01/31,2018,3,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2018Q4,2018Q3,31.0670,2.8110,A,11.0600,45103010
001562,2019/04/30,2018,4,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2019Q1,2018Q4,31.2130,3.2600,A,12.9500,45103010
001562,2019/07/31,2019,1,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2019Q2,2019Q1,31.3650,3.3280,A,13.3200,45103010
001562,2019/10/31,2019,2,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2019Q3,2019Q2,31.8640,4.2090,A,16.2100,45103010
001562,2020/01/31,2019,3,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2019Q4,2019Q3,32.0160,3.8530,A,14.9300,45103010
001562,2020/04/30,2019,4,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2020Q1,2019Q4,32.2340,3.9580,A,16.4800,45103010
001562,2020/07/31,2020,1,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2020Q2,2020Q1,32.4650,4.0950,A,16.4700,45103010
001562,2020/10/31,2020,2,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2020Q3,2020Q2,32.5110,4.3370,A,14.6800,45103010
001562,2021/01/31,2020,3,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2020Q4,2020Q3,32.6960,4.2420,A,19.2100,45103010
001562,2021/04/30,2020,4,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2021Q1,2020Q4,32.8630,4.2900,A,20.6900,45103010
001562,2021/07/31,2021,1,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2021Q2,2021Q1,33.2620,4.4240,A,22.0000,45103010
001562,2021/10/31,2021,2,INDL,C,D,STD,AMERICAN SOFTWARE  -CL A,USD,2021Q3,2021Q2,33.2620,4.2780,A,28.9300,45103010
001878,2019/01/31,2018,4,INDL,C,D,STD,AUTODESK INC,USD,2018Q4,2018Q4,219.4000,190.4000,A,147.2000,45103010
001878,2019/04/30,2019,1,INDL,C,D,STD,AUTODESK INC,USD,2019Q1,2019Q1,219.6000,205.6000,A,178.2100,45103010
001878,2019/07/31,2019,2,INDL,C,D,STD,AUTODESK INC,USD,2019Q2,2019Q2,219.5000,215.4000,A,156.1700,45103010
001878,2019/10/31,2019,3,INDL,C,D,STD,AUTODESK INC,USD,2019Q3,2019Q3,220.0000,213.0000,A,147.3600,45103010
001878,2020/01/31,2019,4,INDL,C,D,STD,AUTODESK INC,USD,2019Q4,2019Q4,219.4000,217.1000,A,196.8500,45103010
001878,2020/04/30,2020,1,INDL,C,D,STD,AUTODESK INC,USD,2020Q1,2020Q1,219.2000,217.4000,A,187.1300,45103010
001878,2020/07/31,2020,2,INDL,C,D,STD,AUTODESK INC,USD,2020Q2,2020Q2,219.3000,232.5000,A,236.4300,45103010
001878,2020/10/31,2020,3,INDL,C,D,STD,AUTODESK INC,USD,2020Q3,2020Q3,219.7000,233.0000,A,235.5400,45103010
001878,2021/01/31,2020,4,INDL,C,D,STD,AUTODESK INC,USD,2020Q4,2020Q4,219.6000,249.6000,A,277.4300,45103010
001878,2021/04/30,2021,1,INDL,C,D,STD,AUTODESK INC,USD,2021Q1,2021Q1,220.0000,265.5000,A,291.9100,45103010
001878,2021/07/31,2021,2,INDL,C,D,STD,AUTODESK INC,USD,2021Q2,2021Q2,219.9000,276.9000,A,321.1300,45103010
001878,2021/10/31,2021,3,INDL,C,D,STD,AUTODESK INC,USD,2021Q3,2021Q3,219.9000,282.1000,A,317.6100,45103010
001891,2019/03/31,2019,3,INDL,C,D,STD,AUTOMATIC DATA PROCESSING,USD,2019Q1,2019Q3,435.5000,160.1000,A,159.7400,45102020
001891,2019/06/30,2019,4,INDL,C,D,STD,AUTOMATIC DATA PROCESSING,USD,2019Q2,2019Q4,434.2000,162.1000,A,165.3300,45102020
001891,2019/09/30,2020,1,INDL,C,D,STD,AUTOMATIC DATA PROCESSING,USD,2019Q3,2020Q1,433.4000,168.2000,A,161.4200,45102020
001891,2019/12/31,2020,2,INDL,C,D,STD,AUTOMATIC DATA PROCESSING,USD,2019Q4,2020Q2,431.8000,168.7000,A,170.5000,45102020
