gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
1562,1/31/2019,2018,3,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2018Q4,2018Q3,10.497,55.058,31.067,114.356,39.713,2.301,27.003,2.811,14,A,343.601,11.06,45103010
1562,4/30/2019,2018,4,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q1,2018Q4,11.063,61.288,31.213,114.607,39.683,1.874,26.271,3.26,14,A,404.2084,12.95,45103010
1562,7/31/2019,2019,1,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q2,2019Q1,10.862,62.722,31.365,116.16,38.884,1.152,27.383,3.328,14,A,417.7818,13.32,45103010
1562,10/31/2019,2019,2,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q3,2019Q2,9.816,62.684,31.864,119.635,37.463,1.759,28.21,4.209,14,A,516.5154,16.21,45103010
1562,1/31/2020,2019,3,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q4,2019Q3,9.215,68.809,32.016,121.268,36.547,3.286,30.6,3.853,14,A,477.9989,14.93,45103010
1562,4/30/2020,2019,4,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q1,2019Q4,8.362,79.814,32.234,120.846,35.382,0.545,29.273,3.958,14,A,531.2163,16.48,45103010
1562,7/31/2020,2020,1,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q2,2020Q1,7.389,79.766,32.465,122.079,34.098,2.034,27.278,4.095,14,A,534.6986,16.47,45103010
1562,10/31/2020,2020,2,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q3,2020Q2,6.473,81.786,32.511,120.19,32.87,0.692,27.881,4.337,14,A,477.2615,14.68,45103010
1562,1/31/2021,2020,3,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q4,2020Q3,5.708,86.721,32.696,121.325,32.009,2.311,27.683,4.242,14,A,628.0902,19.21,45103010
1562,4/30/2021,2020,4,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q1,2020Q4,4.767,88.658,32.863,123.212,31.015,3.052,28.566,4.29,14,A,679.9355,20.69,45103010
1562,7/31/2021,2021,1,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q2,2021Q1,3.864,91.854,33.262,127.208,30.059,2.947,29.271,4.424,14,A,731.764,22,45103010
1562,10/31/2021,2021,2,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q3,2021Q2,3.057,94.201,33.262,129.516,29.199,3.314,31.211,4.278,14,A,962.2697,28.93,45103010
1878,1/31/2019,2018,4,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2018Q4,2018Q4,,886,219.4,1876.8,2731.6,64.7,737.3,190.4,14,A,32295.68,147.2,45103010
1878,4/30/2019,2019,1,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q1,2019Q1,,883.2,219.6,1983.6,2708,-24.2,735.5,205.6,14,A,39134.916,178.21,45103010
1878,7/31/2019,2019,2,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q2,2019Q2,,923.9,219.5,1453.6,2675,40.2,796.8,215.4,14,A,34279.315,156.17,45103010
1878,10/31/2019,2019,3,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q3,2019Q3,,956.2,220,1358.6,2668.8,66.7,842.7,213,14,A,32419.2,147.36,45103010
1878,1/31/2020,2019,4,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q4,2019Q4,,1774.7,219.4,1907.7,2652.1,131.8,899.3,217.1,14,A,43188.89,196.85,45103010
1878,4/30/2020,2020,1,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q1,2020Q1,,1389.7,219.2,1898.5,2623.6,66.5,885.7,217.4,14,A,41018.896,187.13,45103010
