gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,atq,revtq,saleq,costat,busdesc,gsubind
1562,4/30/2019,2018,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q1,2018Q4,161.31,26.271,26.271,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,7/31/2019,2019,1,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q2,2019Q1,162.934,27.383,27.383,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,10/31/2019,2019,2,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q3,2019Q2,166.578,28.21,28.21,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,1/31/2020,2019,3,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2019Q4,2019Q3,172.692,30.6,30.6,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,4/30/2020,2019,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q1,2019Q4,171.293,29.273,29.273,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,7/31/2020,2020,1,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q2,2020Q1,169.12,27.278,27.278,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,10/31/2020,2020,2,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q3,2020Q2,164.002,27.881,27.881,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,1/31/2021,2020,3,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2020Q4,2020Q3,167.424,27.683,27.683,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,4/30/2021,2020,4,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q1,2020Q4,177.157,28.566,28.566,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,7/31/2021,2021,1,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q2,2021Q1,179.456,29.271,29.271,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1562,10/31/2021,2021,2,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,2021Q3,2021Q2,179.608,31.211,31.211,A,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other.",45103010
1878,4/30/2019,2019,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q1,2019Q1,4808.5,735.5,735.5,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,7/31/2019,2019,2,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q2,2019Q2,4872.7,796.8,796.8,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,10/31/2019,2019,3,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q3,2019Q3,5036.6,842.7,842.7,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,1/31/2020,2019,4,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2019Q4,2019Q4,6179.3,899.3,899.3,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,4/30/2020,2020,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q1,2020Q1,5543.9,885.7,885.7,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,7/31/2020,2020,2,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q2,2020Q2,5747.3,913.1,913.1,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,10/31/2020,2020,3,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q3,2020Q3,5944.5,952.4,952.4,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,1/31/2021,2020,4,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q4,2020Q4,7279.8,1039.2,1039.2,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,4/30/2021,2021,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q1,2021Q1,7298.3,989.3,989.3,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,7/31/2021,2021,2,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q2,2021Q2,7420.6,1059.7,1059.7,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
1878,10/31/2021,2021,3,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q3,2021Q3,8531,1125.8,1125.8,A,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide.",45103010
2578,3/31/2019,2019,1,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2019Q1,2019Q1,69.489,31.166,31.166,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,6/30/2019,2019,2,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2019Q2,2019Q2,72.558,36.048,36.048,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,9/30/2019,2019,3,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2019Q3,2019Q3,84.211,45.531,45.531,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,12/31/2019,2019,4,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2019Q4,2019Q4,77.692,46.473,46.473,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,3/31/2020,2020,1,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2020Q1,2020Q1,77.336,38.98,38.98,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,6/30/2020,2020,2,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2020Q2,2020Q2,85.39,48.609,48.609,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,9/30/2020,2020,3,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2020Q3,2020Q3,85.834,47.44,47.44,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,12/31/2020,2020,4,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2020Q4,2020Q4,183.817,44.888,44.888,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,3/31/2021,2021,1,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2021Q1,2021Q1,194.24,55.757,55.757,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,6/30/2021,2021,2,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2021Q2,2021Q2,220.094,52.56,52.56,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
2578,9/30/2021,2021,3,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,2021Q3,2021Q3,242.667,70.066,70.066,A,"Telos Corporation, together with its subsidiaries, provides information technology (IT) solutions and services worldwide.",45103020
4384,3/31/2019,2019,1,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2019Q1,2019Q1,4.662,0.231,0.231,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
